system_name,period_days
Kepler-913,5.939119816
Kepler-884,5.69919514
HATS-48 A,3.1316666
HAT-P-44,4.301219
TOI-1634,103.0
HATS-42,2.292102
Kepler-238,6.155557
Kepler-238,2.090876
Kepler-278,30.160546
Kepler-1089,5.132485618
Kepler-1907,5.652450085
TOI-260,13.475853
Kepler-1920,30.2541008
TOI-559,6.9839095
HD 30669,1684.0
TOI-1174,8.953487683
WASP-66,4.08605
Kepler-275,10.300682
Kepler-9,19.23891
K2-45,1.7292684
HD 96700,8.1245
POTS-1,3.1606296
WASP-186,5.026799
WASP-173 A,1.38665318
Kepler-2000,20.6180348
Kepler-279,12.309681
75 Cet,2051.62
Kepler-1966,8.617429733
Kepler-113,8.92507
HATS-64,4.908897
Kepler-1314,5.424749281
Kepler-1932,0.524177015
HD 90156,49.77
TOI-6008,0.8574347
Kepler-856,8.027680595
NGTS-3 A,1.6753728
TOI-1601,5.33175
Kepler-666,4.49876092
Kepler-30,29.33434
Kepler-388,3.173315
HD 212771,380.7
Kepler-1216,4.37034536
HD 147018,1008.0
Kepler-55,42.1516418
Kepler-1754,8.195949554
TIC 4672985,69.048
Kepler-1387,2.279526656
Kepler-416,12.209
Kepler-394,8.005013
Kepler-608,6.412515037
Kepler-842,1.21956827
Kepler-185,20.729042
HD 86081,2.1378431
Kepler-714,8.098887986
HD 81817,622.97802
Kepler-1199,15.0447198
Kepler-1322,6.459980011
Kepler-268,83.446393
K2-217,14.074524
Kepler-1254,9.99113313
HAT-P-44,872.2
Kepler-1389,99.2530951
Kepler-167,7.406106
Kepler-764,7.33683936
HATS-53,3.8537768
Kepler-11,10.3039
Kepler-30,143.34394
WASP-43,0.813475
Kepler-511,296.637865
Kepler-1286,11.25402929
Kepler-611,2.437033302
Kepler-1088,23.12748644
HD 204313,34.95875
Kepler-11,118.3807
HATS-8,3.583893
GJ 9827,3.648103
Kepler-1681,69.8956
Kepler-11,13.0241
Kepler-66,17.815815
HD 150706,5894.0
Kepler-1646,4.48558383
Kepler-59,17.9801235
Kepler-354,16.934402
Kepler-305,8.291
Kepler-1981,453.54212
HD 222076,871.0
Kepler-703,4.583521756
Kepler-11,22.6845
Kepler-11,31.9996
Barnard's star,6.7392
HD 235088,7.4341325
Kepler-54,12.0717249
Kepler-59,11.8681707
Kepler-635,23.44971004
WASP-22,3.53269
Kepler-1474,36.4333452
Kepler-485,3.243259796
Kepler-30,60.323105
WASP-52,1.7497798
Kepler-1614,3.9466141
Kepler-879,33.3855938
Kepler-1641,19.672266
Kepler-419,69.7546
Kepler-419,675.47
Kepler-1388,5.53608151
HD 307842,2.7970365
bet Pic,1192.77951
Kepler-32,5.90124
KOI-94,54.32031
Kepler-1350,4.4968604
Kepler-44,3.2467293
HD 93385,13.18
Kepler-610,151.86392
Kepler-290,0.764017553
TIC 365102760,4.21285367
Kepler-1388,12.2854603
HD 5891,177.11
TOI-1448,8.112245
Kepler-654,13.72465129
KOI-351,210.60697
Kepler-277,33.006
Kepler-1203,0.588000765
Kepler-1501,14.5564533
Kepler-1850,1.385800004
Kepler-1789,80.23190308
Kepler-140,91.353282
Kepler-106,6.16486
TOI-4406,30.08364
HD 154672,163.94
Kepler-584,35.1810304
K2-397,3.572326
Kepler-1082,1.543206604
Kepler-1672,150.878
Kepler-618,3.595769645
Kepler-322,1.653888
TOI-262,11.14529
Kepler-1072,1.569066502
HD 68402,1103.0
Kepler-1161,10.71252541
Kepler-1777,12.18420029
Kepler-1991,22.79020351
rho CrB,102.19
Kepler-310,92.876125
KOI-351,331.60059
KOI-351,91.93913
HD 39194,33.91
Kepler-1563,3.43276598
Kepler-500,8.508324398
Kepler-530,39.30941904
Kepler-173,4.263742
HD 12484,58.83
Kepler-361,55.188023
Kepler-265,67.831024
Kepler-1724,6.45442009
Kepler-1144,17.14647302
Kepler-1440,39.859484
Kepler-188,2.061897
Kepler-296,10.864384
Kepler-388,13.297004
TrES-2,2.47063
Kepler-1661,175.06
Kepler-332,15.995622
Kepler-1393,2.44357812
Kepler-304,3.295709
Kepler-1464,5.32786292
NGTS-26,4.5199279
Kepler-1502,41.7083629
Kepler-1022,10.99469878
Kepler-1861,40.0306015
Kepler-1380,10.3108245
eps CrB,417.9
HIP 21152,22000.0
Kepler-112,28.574263
HD 103891,1919.0
Kepler-887,20.42228798
Kepler-154,33.040532
HAT-P-62,2.6453235
Kepler-1370,7.44142113
HD 219666,6.034468
Kepler-1967,7.281690121
HD 194490,13092.18348
Kepler-393,9.182417
HD 118203,6.1349779
Kepler-1735,7.71792984
Kepler-301,2.508553
HD 116029,907.0
HD 211403,223.8
Kepler-1613,1.5184299
Kepler-1532,1.093663559
HD 158259,5.1980814
Kepler-965,134.2527298
Kepler-513,28.86235584
Kepler-418,86.67856
Kepler-1435,4.45343281
HD 188641,14583.81038
Kepler-431,6.803
TOI-1279,9.61419
Kepler-1575,2.55314213
K2-187,0.77401
KOI-94,3.743208
KOI-94,22.342989
Kepler-63,9.4341505
Kepler-81,5.955
Kepler-87,114.73635
